,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
80,224,HD_28024,18,7957.8885,42842,0.6436,0.011124,0.002447,0.000478,0.9578,7797.8,W2,S2,211015_18_HD_28024.pav,265427339.2790294,265427339.2790294,98.87434322709973,0.01923477800076439,0.00255481311338484,0.0004990603466276885,0.09547559944243794,0.00742156949695653,-26353448.046763055,168784048.90984398
81,225,HD_28024,18,7957.8885,42842,0.6389,0.01022,0.002668,0.000449,0.9586,7847.3,W2,S2,211015_18_HD_28024.pav,267379927.31254235,267379927.31254235,98.87434322709973,0.01775090057020378,0.0027832255372418108,0.0004683914041310244,0.09757448781273255,0.005946406786138844,-26353448.046763055,168784048.90984398
82,226,HD_28024,18,7957.8885,42842,0.6345,0.008563,0.002088,0.000422,0.959,7734.9,W2,S2,211015_18_HD_28024.pav,269234098.59729445,269234098.59729445,98.87434322709973,0.014942137173714221,0.0021772679874869656,0.00044004171011470284,0.09735053299585603,0.005981885628835604,-26353448.046763055,168784048.90984398
83,227,HD_28024,18,7957.8885,42842,0.63,0.006049,0.001275,0.000507,0.9575,7444.6,W2,S2,211015_18_HD_28024.pav,271157199.3015608,271157199.3015608,98.87434322709973,0.010627190001919301,0.0013315926892950392,0.0005295039164490861,0.08655312589582792,0.005098169122039087,-26353448.046763055,168784048.90984398
112,428,HD_28024,43,7958.053,42842,0.7935,0.016608,0.005918,0.000575,0.9701,5326.4,W2,S2,211015_43_HD_28024.pav,221818663.48738182,221818663.48738182,127.77754755918417,0.02385629847573179,0.006100402020410267,0.0005927223997526028,0.17822486447182728,0.014497025594129482,-107825167.83391951,139119904.72047153
113,429,HD_28024,43,7958.053,42842,0.7857,0.01604,0.0051,0.000551,0.9699,5649.0,W2,S2,211015_43_HD_28024.pav,224020757.8939003,224020757.8939003,127.77754755918417,0.023167574470428845,0.005258274048871018,0.0005680998041035157,0.18342676164555213,0.01227032763238063,-107825167.83391951,139119904.72047153
114,430,HD_28024,43,7958.053,42842,0.7779,0.013929,0.004232,0.000527,0.9697,5894.0,W2,S2,211015_43_HD_28024.pav,226267013.0829637,226267013.0829637,127.77754755918417,0.02023200899096147,0.004364236361761369,0.0005434670516654635,0.1933106265277208,0.009183718535201382,-107825167.83391951,139119904.72047153
115,431,HD_28024,43,7958.053,42842,0.7706,0.012317,0.004796,0.000548,0.9701,5799.4,W2,S2,211015_43_HD_28024.pav,228410471.68081686,228410471.68081686,127.77754755918417,0.01797614649926871,0.004943820224719102,0.0005648902175033501,0.16959399715778353,0.008134851952281546,-107825167.83391951,139119904.72047153
116,432,HD_28024,43,7958.053,42842,0.7633,0.012251,0.004404,0.000521,0.9712,5913.0,W2,S2,211015_43_HD_28024.pav,230594929.2247314,230594929.2247314,127.77754755918417,0.017954306661011922,0.004534596375617792,0.0005364497528830313,0.15967000531973102,0.006215220552874232,-107825167.83391951,139119904.72047153
117,433,HD_28024,43,7958.053,42842,0.7564,0.010956,0.003849,0.000447,0.9715,6346.3,W2,S2,211015_43_HD_28024.pav,232698452.50824627,232698452.50824627,127.77754755918417,0.016133744694195887,0.003961914565105507,0.00046011322696860526,0.15791244203025812,0.00593169319159059,-107825167.83391951,139119904.72047153
